curso,sem,fila,ciclo,ciclo_n,fila2,creditos
LENGUA Y CULTURA,1,1,BFH,1,1,2
MATEMÁTICA BÁSICA,1,2,BDCB,2,3,3
GEOMETRÍA ANALÍTICA,1,3,BDCB,2,4,3
LÓGICA Y ALGORITMIA,1,4,BDBI,3,6,3
DIBUJO DE INGENIERÍA,1,5,BDBI,3,7,2
INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL,1,6,CP,4,12,2
ÉTICA GENERAL,2,1,BFH,1,1,1
HUMANISMO Y CULTURA CIUDADANA,2,2,BFH,1,2,2
CÁLCULO DIFERENCIAL,2,3,BDCB,2,3,3
FUNDAMENTOS DE MECÁNICA,2,4,BDCB,2,5,3
PROGRAMACIÓN ORIENTADA A OBJETOS,2,5,BDBI,3,6,3
CIENCIA DE LOS MATERIALES,2,6,BDBI,3,7,3
CRISTOLOGÍA,3,1,BFH,1,1,2
CÁLCULO INTEGRAL,3,2,BDCB,2,3,3
ÁLGEBRA LINEAL,3,3,BDCB,2,4,3
ELECTRICIDAD Y MAGNETISMO,3,4,BDBI,3,5,3
PROCESOS INDUSTRIALES,3,5,BDBI,3,7,3
ELECTIVA I,3,6,CP,4,13,2
ECUACIONES DIFERENCIALES,4,1,BDCB,2,3,3
CÁLCULO MULTIVARIADO,4,2,BDCB,2,4,3
PROBABILIDAD Y ESTADÍSTICA,4,3,BDBI,3,6,3
PROGRAMACIÓN LINEAL,4,4,CP,4,10,3
ADMINISTRACIÓN Y RECURSOS HUMANOS,4,5,CP,4,11,2
COSTOS Y PRESUPUESTOS,4,6,CP,4,12,2
EMPRENDERISMO Y RESPONSABILIDAD SOCIAL,5,1,BFH,1,1,2
ELECTIVA I CBFH,5,2,BFH,1,2,2
PROYECTO INTEGRADOR I,5,3,CP,4,8,2
FUNDAMENTOS DE PRODUCCIÓN,5,4,CP,4,9,3
OPTIMIZACIÓN DISCRETA,5,5,CP,4,10,3
INGENIERÍA DE MÉTODOS,5,6,CP,4,11,3
INGENIERÍA ECONÓMICA,5,7,CP,4,12,3
MODELOS DE REGRESIÓN Y SERIES DE TIEMPO,6,1,CP,4,8,3
PROGRAMACIÓN DE LA PRODUCCIÓN,6,2,CP,4,9,3
OPTIMIZACIÓN DE REDES,6,3,CP,4,10,3
GESTIÓN Y CONTROL DE CALIDAD,6,4,CP,4,11,3
GESTIÓN FINANCIERA,6,5,CP,4,12,3
ELECTIVA II,6,6,CP,4,13,2
ELECTIVA II CBFH,7,1,BFH,1,1,2
DISEÑO DE EXPERIMENTOS,7,2,CP,4,8,3
GESTIÓN LOGÍSTICA,7,3,CP,4,9,3
MODELOS ESTOCÁSTICOS,7,4,CP,4,10,3
SEGURIDAD Y SALUD EN EL TRABAJO,7,5,CP,4,11,2
PROYECTO INTEGRADOR II,7,6,CP,4,12,2
OPTATIVA I,7,7,CI,5,14,3
MÉTODOS CUANTITATIVOS EN LOGÍSTICA,8,1,CP,4,9,3
SIMULACIÓN,8,2,CP,4,10,3
PROYECTO DE GRADO,8,3,CP,4,11,2
FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,8,4,CP,4,12,3
GESTIÓN TECNOLÓGICA,8,5,CP,4,13,2
OPTATIVA II,8,6,CI,5,14,3
ÉTICA PROFESIONAL,9,1,BFH,1,1,1
OPCIÓN DE GRADO,9,5,CP,4,12,10
